state,city,name,phone,email,website,address,rating,reviews_count,services,certifications,audiences,service_area,lat,lng
Arizona,Apache Junction,Tank N Barrel,(480) 233-6463,,http://www.tanknbarrel.com/,"5205 S Desert View Dr, Apache Junction, AZ 85120",4.9,125,"['Water storage tanks', 'Water hauling tanks', 'Septic systems', 'Pump and pressure tank systems', 'Parts and fittings', 'Rainwater collection (gutter/roof method)', 'Water flow solutions', 'Pump and pressure tank combo systems', 'Gutter/roof rainwater collection', 'Vertical tanks (head pressure)']",,"Residential, Business",[],33.366843,-111.576347
Arizona,Dewey,Southwest Water Tanks,(928) 713-0010,,https://sw-tanks.com/,"588 S Cold Water Lane, Dewey, AZ 86327",5,6,"['potable water storage tanks', 'transport tanks', 'rainwater tanks', 'parts and accessories', 'product information and support', 'potable water storage', 'household water storage', 'transport tanks', 'rain harvesting']",,"Household, DIY",[],34.534031,-112.2366995
Arizona,Tucson,The Rain Store,(520) 222-7771,,https://therainstore.com/,"3248 E Grant Rd, Tucson, AZ 85716",4.9,17,"['rainwater harvesting supplies', 'rainwater harvesting equipment', 'rainwater harvesting systems', 'consultations', 'resources', 'garden irrigation', 'landscaping', 'water storage tanks', 'domestic applications']",,"Tucsonans, Homeowners, Gardeners, Community","['Tucson', 'Sonoran Desert']",32.2501123,-110.9233042
Arizona,Tucson,"Southern Arizona Rain Gutters, Inc.",(520) 299-7246,,https://www.southernarizonaraingutters.com/,"1627 N Stone Ave, Tucson, AZ 85705",4.7,418,"['rain gutters', 'fascia wraps', 'rainwater harvesting systems', 'gutter installation', 'tank and cistern supply', 'tank and cistern installation', 'custom system design', 'parts supply', 'portable water filtration (Lifesaver Jerrycan Filters)', 'cistern painting', 'seamless gutters', 'above ground plastic tanks', 'steel culvert cisterns', 'tanks 200 gallons to over 10', '000 gallons', 'rainwater harvesting systems']","Licensed & bonded, R.O.C. 326453, R.O.C. 326462","Residential, Commercial","['Tucson', 'Arizona', 'Southern Arizona']",32.2424019,-110.9720414
Arizona,Tucson,Arizona Sustainable Living,(520) 329-2929,,https://www.facebook.com/AZSustainableLiving/,"9121 E Camino Abril, Tucson, AZ 85747",4.9,30,[],,,"['Tucson', 'Arizona']",32.1026521,-110.7979086
Arizona,Tucson,EcoSense Sustainable Landscapes,(520) 575-7005,,https://www.ecosenseaz.com/,"4560 N La Cholla Blvd, Tucson, AZ 85705",4.7,70,"['landscape design', 'landscape installation', 'rainwater harvesting services', 'passive rainwater harvesting basins', 'native and arid-adapted plant installation', 'native tree planting', 'soil restoration', 'water budgeting', 'succulent planting', 'targeted seed blends', 'zero run-off property', 'passive rainwater harvesting basins', 'growing shade', 'native/arid-adapted plants', 'restoring disturbed soils', 'minimize reliance on irrigation', 'water budgeting']",,"clients with yards, common spaces, Tucsonans","['Tucson', 'Tucson basin', 'Sonoran Desert', 'Arizona']",32.2904307,-111.0114613
Arizona,Tucson,Arizona Gutter Pros,(520) 521-9004,,https://arizonagutterpros.com/,"7040 N Firenze Dr, Tucson, AZ 85704",4.8,16,"['seamless gutters systems', 'patio covers', 'drainage solutions', 'repairs']",,"government, residential, commercial offices",[],32.3361805,-110.9697545
Arizona,St Johns,"SJ Portables- St. Johns- Sheds, Containers & Tanks",(928) 321-1000,,https://www.shedscontainersandtanks.com/,"895 W Cleveland St, St Johns, AZ 85936",4.7,36,"['Portable buildings', 'Sheds', 'Cabins', 'Garages', 'Utility sheds', 'New shipping containers (one-trip)', 'Used shipping containers (cargo-worthy)', 'Water storage tanks', 'Sales', 'Delivery', 'Fully customizable portable buildings', 'One-trip new shipping containers', 'Cargo-worthy used shipping containers', 'Water storage tanks in stock']",,"Families, Businesses","['Alpine', 'Nutrioso', 'Greer', 'Show Low', 'Snowflake', 'Taylor', 'Pinetop', 'Lakeside', 'Whiteriver', 'Mc Nary', 'Vernon', 'Concho', 'Holbrook', 'Chambers', 'Sanders', 'St. Johns', 'Springerville', 'Eagar', 'Joseph City', 'Hunt', 'Lupton', 'Chinle', 'Sun Valley', 'Navajo Nation', 'Gallup', 'Ramah', 'Grants', 'Window Rock', 'Quemado', 'Luna', 'Magdalena', 'Datil', 'Reserve', 'Socorro', 'Silver City', 'Red Hill', 'Zuni', 'Pescado', 'Black Rock', 'Pine Hill', 'Pie Town', 'Omega', 'Tohatchi', 'Fence Lake', 'Arizona', 'New Mexico']",34.5068754,-109.3782974
Arizona,Tucson,Aqua Vets Phoenix,(480) 864-6205,,https://www.aquavetsaz.com/,,5,12,"['Rainwater harvesting system services', 'Yard drainage system services', 'Gutter installation services', 'System design', 'Rainwater harvesting', 'Specialty drainage', 'Gutters', 'Customizable systems', 'Water management solutions']",,"Home, Business","['Tucson', 'AZ']",33.2766146,-112.18749
Arizona,Tucson,"Desert Living, Inc.",(520) 907-2072,,http://desertlivingtucson.com/,,4.7,6,"['landscape design-build', 'landscape installation', 'rainwater harvesting', 'greywater harvesting', 'edible gardens', 'habitat creation', 'greenhouses', 'rainwater harvesting', 'greywater harvesting', 'edible gardens', 'habitat creation', 'greenhouses']",,Tucson residents,['Tucson'],31.9701219,-111.8908745
