market,keyword,volume,kd_percent,cpc_usd,intent,global_volume,source
US,rainwater harvesting system installation,390,28,1.79,Informational,1200,Semrush Keyword Overview / Keyword Magic
US,septic tank pumping,74000,41,6.13,Commercial,87800,Semrush Keyword Overview
US,stump grinding service,2400,27,4.43,Commercial,4100,Semrush Keyword Overview
US,yard drainage contractor,390,4,7.7,Commercial,500,Semrush Keyword Overview
US,spray foam insulation contractor,1300,47,7.38,Commercial,2100,Semrush Keyword Overview
US,epoxy flooring contractor,880,51,8.63,Commercial,2900,Semrush Keyword Overview
US,irrigation system installation,8100,47,4.17,Informational,11700,Semrush Keyword Overview
US,radon mitigation company,480,39,7.44,Commercial,580,Semrush Keyword Overview
US,heat pump repair,40500,9,20.76,Commercial,49600,Semrush Keyword Overview
US,ev charger installation,40500,44,9.26,Informational,66300,Semrush Keyword Overview
US,roof cleaning service,2400,15,8.41,Commercial,4400,Semrush Keyword Overview
US,mobile rv repair,8100,25,2.46,Commercial,9300,Semrush Keyword Overview
US,solar panel cleaning service,5400,24,3.63,Commercial,10400,Semrush Keyword Overview
US,septic system installer,260,13,4.8,Commercial,5600,Semrush Keyword Overview
SE,regnvattentank,720,12,0.23,Informational,870,Semrush Keyword Overview
SE,enskilt avlopp,1900,28,0.78,Informational,2300,Semrush Keyword Overview
SE,minireningsverk,1900,21,0.89,Informational,2300,Semrush Keyword Overview
SE,stubbfräsning,1300,13,2.01,Commercial,1700,Semrush Keyword Overview
SE,dränering företag,40,24,5.09,Commercial,40,Semrush Keyword Overview
SE,dränering,2900,22,3.29,Informational,3600,Semrush Keyword Overview
SE,tilläggsisolering,720,,0.67,n/a,800,Semrush Keyword Overview
SE,epoxigolv,2900,12,1.2,Informational,3200,Semrush Keyword Overview
SE,bevattningssystem,3600,28,0.28,Informational,4000,Semrush Keyword Overview
SE,radonsanering,260,9,2.41,Informational,580,Semrush Keyword Overview
SE,värmepump service,260,21,3.21,Commercial,330,Semrush Keyword Overview
SE,laddbox installation,390,29,2.82,Informational,630,Semrush Keyword Overview
SE,taktvätt,2400,11,4.18,Informational,2900,Semrush Keyword Overview
SE,relining,3600,23,2.13,Informational,11400,Semrush Keyword Overview
SE,solcellstvätt,90,12,0.97,Navigational,100,Semrush Keyword Overview
SE,husbilsservice,110,10,0.82,Commercial,140,Semrush Keyword Overview
SE,trädfällning,1900,14,2.61,Transactional,2200,Semrush Keyword Overview
SE,markiser,6600,27,1.39,Commercial,17200,Semrush Keyword Overview
